time_value,PCR_Positive_Cases_by_Specimen_Date,Antigen_Positive_Cases_by_Specimen_Date,reinfect,cases,perc_reinfect
2021-03-17,1535,418,0,1953,0
2021-03-18,1123,430,0,1553,0
2021-03-19,1274,369,1,1643,0.060864273
2021-03-20,763,252,0,1015,0
2021-03-21,711,246,1,957,0.104493208
2021-03-22,1746,563,0,2309,0
2021-03-23,1459,504,0,1963,0
2021-03-24,1534,460,0,1994,0
2021-03-25,1386,501,0,1887,0
2021-03-26,1262,455,0,1717,0
2021-03-27,756,314,0,1070,0
2021-03-28,718,249,0,967,0
2021-03-29,1702,543,0,2245,0
2021-03-30,1427,478,0,1905,0
2021-03-31,1456,445,0,1901,0
2021-04-01,1354,420,1,1774,0.056369786
2021-04-02,959,372,0,1331,0
2021-04-03,731,269,0,1000,0
2021-04-04,603,81,0,684,0
2021-04-05,1664,515,0,2179,0
2021-04-06,1570,482,0,2052,0
2021-04-07,1576,483,0,2059,0
2021-04-08,1466,484,0,1950,0
2021-04-09,1528,467,0,1995,0
2021-04-10,868,300,0,1168,0
2021-04-11,849,358,0,1207,0
2021-04-12,2038,661,0,2699,0
2021-04-13,1837,520,0,2357,0
2021-04-14,1795,481,0,2276,0
2021-04-15,1659,416,0,2075,0
2021-04-16,1456,471,0,1927,0
2021-04-17,841,279,0,1120,0
2021-04-18,773,274,0,1047,0
2021-04-19,1909,567,0,2476,0
2021-04-20,1602,463,0,2065,0
2021-04-21,1600,442,0,2042,0
2021-04-22,1326,414,0,1740,0
2021-04-23,1235,356,0,1591,0
2021-04-24,764,235,0,999,0
2021-04-25,727,246,0,973,0
2021-04-26,1737,565,0,2302,0
2021-04-27,1483,441,0,1924,0
2021-04-28,1350,416,0,1766,0
2021-04-29,1295,409,0,1704,0
2021-04-30,1185,353,0,1538,0
2021-05-01,678,213,0,891,0
2021-05-02,632,212,0,844,0
2021-05-03,1468,454,1,1922,0.052029136
2021-05-04,1222,369,0,1591,0
2021-05-05,1218,360,0,1578,0
2021-05-06,1134,289,0,1423,0
2021-05-07,958,258,0,1216,0
2021-05-08,503,182,0,685,0
2021-05-09,414,160,0,574,0
2021-05-10,1168,350,0,1518,0
2021-05-11,931,286,0,1217,0
2021-05-12,831,250,0,1081,0
2021-05-13,808,214,0,1022,0
2021-05-14,743,235,0,978,0
2021-05-15,410,125,0,535,0
2021-05-16,369,128,1,497,0.201207243
2021-05-17,939,284,0,1223,0
2021-05-18,805,211,0,1016,0
2021-05-19,718,210,0,928,0
2021-05-20,700,221,0,921,0
2021-05-21,557,165,0,722,0
2021-05-22,343,97,0,440,0
2021-05-23,313,126,0,439,0
2021-05-24,712,243,0,955,0
2021-05-25,626,190,0,816,0
2021-05-26,497,169,0,666,0
2021-05-27,477,136,0,613,0
2021-05-28,421,150,0,571,0
2021-05-29,227,75,0,302,0
2021-05-30,194,82,0,276,0
2021-05-31,175,42,0,217,0
2021-06-01,599,214,0,813,0
2021-06-02,404,136,0,540,0
2021-06-03,351,155,0,506,0
2021-06-04,354,111,1,465,0.215053763
2021-06-05,215,74,0,289,0
2021-06-06,179,58,0,237,0
2021-06-07,368,121,0,489,0
2021-06-08,347,111,0,458,0
2021-06-09,308,130,0,438,0
2021-06-10,310,109,0,419,0
2021-06-11,267,90,0,357,0
2021-06-12,174,48,0,222,0
2021-06-13,174,68,0,242,0
2021-06-14,377,132,0,509,0
2021-06-15,310,117,0,427,0
2021-06-16,352,127,0,479,0
2021-06-17,276,106,0,382,0
2021-06-18,267,97,0,364,0
2021-06-19,169,58,0,227,0
2021-06-20,154,48,0,202,0
2021-06-21,321,150,0,471,0
2021-06-22,285,104,0,389,0
2021-06-23,302,118,0,420,0
2021-06-24,273,105,0,378,0
2021-06-25,312,96,0,408,0
2021-06-26,183,65,0,248,0
2021-06-27,177,61,0,238,0
2021-06-28,388,135,0,523,0
2021-06-29,372,117,0,489,0
2021-06-30,325,147,0,472,0
2021-07-01,393,147,0,540,0
2021-07-02,372,140,0,512,0
2021-07-03,296,90,0,386,0
2021-07-04,170,28,0,198,0
2021-07-05,429,174,0,603,0
2021-07-06,596,249,0,845,0
2021-07-07,541,186,0,727,0
2021-07-08,585,177,0,762,0
2021-07-09,610,222,0,832,0
2021-07-10,461,123,0,584,0
2021-07-11,484,133,0,617,0
2021-07-12,876,340,0,1216,0
2021-07-13,856,320,1,1176,0.085034014
2021-07-14,882,284,1,1166,0.085763293
2021-07-15,838,296,0,1134,0
2021-07-16,998,321,0,1319,0
2021-07-17,689,156,0,845,0
2021-07-18,741,183,1,924,0.108225108
2021-07-19,1532,507,0,2039,0
2021-07-20,1465,444,0,1909,0
2021-07-21,1643,458,0,2101,0
2021-07-22,1846,473,0,2319,0
2021-07-23,1680,451,0,2131,0
2021-07-24,1360,229,0,1589,0
2021-07-25,1469,236,0,1705,0
2021-07-26,3009,852,0,3861,0
2021-07-27,2764,669,0,3433,0
2021-07-28,2810,688,0,3498,0
2021-07-29,3044,802,0,3846,0
2021-07-30,2915,635,2,3550,0.056338028
2021-07-31,2167,329,0,2496,0
2021-08-01,1977,325,0,2302,0
2021-08-02,4221,975,1,5196,0.019245574
2021-08-03,3922,845,0,4767,0
2021-08-04,3911,923,0,4834,0
2021-08-05,4108,973,0,5081,0
2021-08-06,3917,840,1,4757,0.021021652
2021-08-07,2495,448,0,2943,0
2021-08-08,2480,457,0,2937,0
2021-08-09,5745,1287,4,7032,0.056882821
2021-08-10,5114,1148,0,6262,0
2021-08-11,4952,1146,0,6098,0
2021-08-12,4913,1148,0,6061,0
2021-08-13,4892,938,1,5830,0.017152659
2021-08-14,2822,480,1,3302,0.030284676
2021-08-15,2639,492,0,3131,0
2021-08-16,6693,1384,0,8077,0
2021-08-17,5561,1132,3,6693,0.044822949
2021-08-18,5921,1158,1,7079,0.014126289
2021-08-19,5887,1082,2,6969,0.028698522
2021-08-20,5816,1040,3,6856,0.043757293
2021-08-21,3438,538,1,3976,0.025150905
2021-08-22,3010,498,0,3508,0
2021-08-23,8193,1708,2,9901,0.02019998
2021-08-24,6934,1390,1,8324,0.012013455
2021-08-25,6955,1336,3,8291,0.036183814
2021-08-26,6563,1299,3,7862,0.038158229
2021-08-27,6412,1135,3,7547,0.039750894
2021-08-28,3875,529,0,4404,0
2021-08-29,2974,508,0,3482,0
2021-08-30,8382,1825,1,10207,0.009797198
2021-08-31,7421,1506,0,8927,0
2021-09-01,6782,1361,1,8143,0.012280486
2021-09-02,6791,1296,1,8087,0.012365525
2021-09-03,6157,1038,0,7195,0
2021-09-04,3496,485,1,3981,0.025119317
2021-09-05,2914,478,0,3392,0
2021-09-06,2625,597,0,3222,0
2021-09-07,9502,1838,1,11340,0.008818342
2021-09-08,8055,1549,0,9604,0
2021-09-09,6564,1352,0,7916,0
2021-09-10,5947,1187,0,7134,0
2021-09-11,3191,573,1,3764,0.026567481
2021-09-12,2623,451,0,3074,0
2021-09-13,7617,1662,2,9279,0.021554047
2021-09-14,6154,1165,2,7319,0.027326137
2021-09-15,5513,1122,2,6635,0.03014318
2021-09-16,5164,1104,1,6268,0.015954052
2021-09-17,4769,898,0,5667,0
2021-09-18,2471,444,0,2915,0
2021-09-19,2099,344,0,2443,0
2021-09-20,6181,1248,0,7429,0
2021-09-21,4847,964,0,5811,0
2021-09-22,4263,896,0,5159,0
2021-09-23,4035,849,3,4884,0.061425061
2021-09-24,3752,743,4,4495,0.088987764
2021-09-25,2057,329,0,2386,0
2021-09-26,1796,323,0,2119,0
2021-09-27,4788,1122,2,5910,0.033840948
2021-09-28,3898,806,0,4704,0
2021-09-29,3668,730,0,4398,0
2021-09-30,3188,695,0,3883,0
2021-10-01,3082,673,81,3755,2.157123835
2021-10-02,1675,323,42,1998,2.102102102
2021-10-03,1426,259,26,1685,1.543026706
2021-10-04,3988,954,100,4942,2.023472278
2021-10-05,3074,794,72,3868,1.861427094
2021-10-06,2974,715,95,3689,2.575223638
2021-10-07,2628,545,77,3173,2.426725496
2021-10-08,2420,496,70,2916,2.400548697
2021-10-09,1331,219,24,1550,1.548387097
2021-10-10,1188,217,21,1405,1.494661922
2021-10-11,3081,744,76,3825,1.986928105
2021-10-12,2467,615,89,3082,2.887735237
2021-10-13,2215,594,80,2809,2.847988608
2021-10-14,2029,579,69,2608,2.645705521
2021-10-15,1772,411,60,2183,2.748511223
2021-10-16,1090,205,30,1295,2.316602317
2021-10-17,852,185,25,1037,2.410800386
2021-10-18,2200,585,62,2785,2.226211849
2021-10-19,1770,455,51,2225,2.292134831
2021-10-20,1641,447,46,2088,2.203065134
2021-10-21,1611,397,41,2008,2.041832669
2021-10-22,1505,360,38,1865,2.037533512
2021-10-23,932,207,24,1139,2.107111501
2021-10-24,710,185,14,895,1.56424581
2021-10-25,2018,573,46,2591,1.775376303
2021-10-26,1714,445,52,2159,2.408522464
2021-10-27,1458,407,50,1865,2.680965147
2021-10-28,1365,359,29,1724,1.682134571
2021-10-29,1337,302,26,1639,1.58633313
2021-10-30,777,162,19,939,2.02342918
2021-10-31,643,155,12,798,1.503759398
2021-11-01,1720,528,52,2248,2.31316726
2021-11-02,1514,433,57,1947,2.927580894
2021-11-03,1443,402,44,1845,2.384823848
2021-11-04,1310,331,27,1641,1.645338208
2021-11-05,1316,322,28,1638,1.709401709
2021-11-06,745,154,11,899,1.223581758
2021-11-07,749,223,24,972,2.469135802
2021-11-08,1847,565,59,2412,2.446102819
2021-11-09,1640,397,51,2037,2.503681885
2021-11-10,1603,441,53,2044,2.59295499
2021-11-11,1211,361,47,1572,2.989821883
2021-11-12,1648,352,41,2000,2.05
2021-11-13,999,197,15,1196,1.254180602
2021-11-14,814,156,12,970,1.237113402
2021-11-15,2165,672,70,2837,2.467395136
2021-11-16,1760,512,55,2272,2.420774648
2021-11-17,1765,474,63,2239,2.813756141
2021-11-18,1761,441,51,2202,2.316076294
2021-11-19,1636,381,43,2017,2.131879028
2021-11-20,1005,224,25,1229,2.034174125
2021-11-21,887,203,21,1090,1.926605505
2021-11-22,2106,588,77,2694,2.858203415
2021-11-23,1867,466,46,2333,1.971710244
2021-11-24,1671,433,37,2104,1.758555133
2021-11-25,286,93,17,379,4.485488127
2021-11-26,1610,395,32,2005,1.596009975
2021-11-27,1247,300,32,1547,2.068519716
2021-11-28,1306,298,37,1604,2.306733167
2021-11-29,3446,946,111,4392,2.527322404
2021-11-30,2942,754,76,3696,2.056277056
2021-12-01,2809,762,76,3571,2.128255391
2021-12-02,2656,709,66,3365,1.961367013
2021-12-03,2554,599,61,3153,1.934665398
2021-12-04,1569,370,34,1939,1.753481176
2021-12-05,1378,372,36,1750,2.057142857
2021-12-06,3487,976,120,4463,2.688774367
2021-12-07,2893,850,92,3743,2.457921453
2021-12-08,2769,834,95,3603,2.636691646
2021-12-09,2646,753,84,3399,2.471315093
2021-12-10,2490,612,72,3102,2.321083172
2021-12-11,1642,348,50,1990,2.512562814
2021-12-12,1377,316,49,1693,2.894270526
2021-12-13,3576,1040,115,4616,2.491334489
2021-12-14,3248,859,130,4107,3.16532749
2021-12-15,3300,924,131,4224,3.101325758
2021-12-16,3362,920,144,4282,3.362914526
2021-12-17,3498,789,149,4287,3.475623979
2021-12-18,2409,471,88,2880,3.055555556
2021-12-19,2089,490,97,2579,3.761147732
2021-12-20,5692,1106,290,6798,4.265960577
2021-12-21,6170,1227,383,7397,5.177774774
2021-12-22,6889,1305,491,8194,5.992189407
2021-12-23,7521,1469,564,8990,6.273637375
2021-12-24,3751,909,273,4660,5.858369099
2021-12-25,1696,276,106,1972,5.37525355
2021-12-26,5167,1043,353,6210,5.684380032
2021-12-27,16658,3074,1367,19732,6.927832962
2021-12-28,20497,3317,1799,23814,7.554379777
2021-12-29,21403,3958,1981,25361,7.811206183
2021-12-30,21325,4635,2170,25960,8.359013867
2021-12-31,12531,2858,1192,15389,7.745792449
2022-01-01,6978,1392,600,8370,7.168458781
2022-01-02,9186,2126,849,11312,7.505304102
2022-01-03,26598,5724,2685,32322,8.307035456
2022-01-04,32959,5983,3302,38942,8.479276873
2022-01-05,31636,5738,3152,37374,8.433670466
2022-01-06,29751,5611,3115,35362,8.8088909
2022-01-07,25356,4771,2537,30127,8.421017692
2022-01-08,14178,2221,1255,16399,7.652905665
2022-01-09,10904,2234,1052,13138,8.007307048
2022-01-10,38539,8361,3978,46900,8.481876333
2022-01-11,36169,7038,3604,43207,8.341241003
2022-01-12,34650,6862,3431,41512,8.265079977
2022-01-13,32127,6480,3203,38607,8.296422928
2022-01-14,29431,5725,2791,35156,7.938900899
2022-01-15,14692,2635,1224,17327,7.064119582
2022-01-16,3502,825,340,4327,7.857638086
2022-01-17,16496,4167,1664,20663,8.053041669
2022-01-18,34707,7224,3234,41931,7.712670816
2022-01-19,32794,6487,3191,39281,8.123520277
2022-01-20,26922,5827,2658,32749,8.11627836
2022-01-21,12943,3111,1233,16054,7.68032889
2022-01-22,5430,1162,472,6592,7.160194175
2022-01-23,7592,1757,662,9349,7.080971227
2022-01-24,26580,5996,2501,32576,7.677431238
2022-01-25,19119,4457,1664,23576,7.05802511
2022-01-26,16153,3550,1513,19703,7.67903365
2022-01-27,13493,2893,1286,16386,7.848163066
2022-01-28,11563,2493,1046,14056,7.441661924
2022-01-29,4132,912,350,5044,6.938937351
2022-01-30,4294,1038,373,5332,6.995498875
2022-01-31,13304,3453,1455,16757,8.682938473
2022-02-01,9819,2457,1024,12276,8.341479309
2022-02-02,8723,2112,837,10835,7.72496539
2022-02-03,7541,1828,804,9369,8.581492155
2022-02-04,6744,1578,655,8322,7.870704158
