time_value,reinfect,cases,perc_reinfect
2021-05-13,27,856,3.154205607
2021-05-14,15,745,2.013422819
2021-05-15,5,420,1.19047619
2021-05-16,5,424,1.179245283
2021-05-17,20,911,2.195389682
2021-05-18,19,774,2.454780362
2021-05-19,8,644,1.242236025
2021-05-20,10,559,1.788908766
2021-05-21,14,465,3.010752688
2021-05-22,15,289,5.190311419
2021-05-23,5,213,2.34741784
2021-05-24,18,523,3.4416826
2021-05-25,15,421,3.562945368
2021-05-26,8,372,2.150537634
2021-05-27,7,306,2.287581699
2021-05-28,14,254,5.511811024
2021-05-29,5,142,3.521126761
2021-05-30,7,138,5.072463768
2021-05-31,6,83,7.228915663
2021-06-01,14,363,3.856749311
2021-06-02,12,279,4.301075269
2021-06-03,12,243,4.938271605
2021-06-04,20,222,9.009009009
2021-06-05,4,136,2.941176471
2021-06-06,6,100,6
2021-06-07,12,218,5.504587156
2021-06-08,12,204,5.882352941
2021-06-09,11,154,7.142857143
2021-06-10,9,135,6.666666667
2021-06-11,10,123,8.130081301
2021-06-12,5,82,6.097560976
2021-06-13,1,73,1.369863014
2021-06-14,12,174,6.896551724
2021-06-15,14,154,9.090909091
2021-06-16,15,123,12.19512195
2021-06-17,7,124,5.64516129
2021-06-18,9,101,8.910891089
2021-06-19,13,84,15.47619048
2021-06-20,9,82,10.97560976
2021-06-21,10,120,8.333333333
2021-06-22,10,108,9.259259259
2021-06-23,12,86,13.95348837
2021-06-24,10,133,7.518796992
2021-06-25,21,129,16.27906977
2021-06-26,5,49,10.20408163
2021-06-27,7,59,11.86440678
2021-06-28,11,133,8.270676692
2021-06-29,10,108,9.259259259
2021-06-30,12,133,9.022556391
2021-07-01,11,160,6.875
2021-07-02,7,114,6.140350877
2021-07-03,5,85,5.882352941
2021-07-04,7,42,16.66666667
2021-07-05,13,133,9.77443609
2021-07-06,13,163,7.975460123
2021-07-07,7,204,3.431372549
2021-07-08,11,157,7.006369427
2021-07-09,13,196,6.632653061
2021-07-10,11,143,7.692307692
2021-07-11,9,123,7.317073171
2021-07-12,12,255,4.705882353
2021-07-13,15,253,5.928853755
2021-07-14,17,255,6.666666667
2021-07-15,11,318,3.459119497
2021-07-16,19,264,7.196969697
2021-07-17,7,169,4.142011834
2021-07-18,6,215,2.790697674
2021-07-19,9,420,2.142857143
2021-07-20,13,416,3.125
2021-07-21,19,466,4.077253219
2021-07-22,13,478,2.719665272
2021-07-23,21,470,4.468085106
2021-07-24,9,299,3.010033445
2021-07-25,8,355,2.253521127
2021-07-26,28,705,3.971631206
2021-07-27,24,680,3.529411765
2021-07-28,28,770,3.636363636
2021-07-29,23,785,2.929936306
2021-07-30,33,782,4.219948849
2021-07-31,9,476,1.890756303
2021-08-01,18,543,3.314917127
2021-08-02,31,1088,2.849264706
2021-08-03,22,1050,2.095238095
2021-08-04,34,1117,3.043867502
2021-08-05,34,1087,3.127874885
